1 - 100 x 100,1 - 1000 x 1000,1 - 10000 x 10000,2 - 100 x 100,2 - 1000 x 1000,2 - 10000 x 10000,4 - 100 x 100,4 - 1000 x 1000,4 - 10000 x 10000,8 - 100 x 100,8 - 1000 x 1000,8 - 10000 x 10000,16 - 100 x 100,16 - 1000 x 1000,16 - 10000 x 10000,32 - 100 x 100,32 - 1000 x 1000,32 - 10000 x 10000,64 - 100 x 100,64 - 1000 x 1000,64 - 10000 x 10000,128 - 100 x 100,128 - 1000 x 1000,128 - 10000 x 10000,256 - 100 x 100,256 - 1000 x 1000,256 - 10000 x 10000,512 - 100 x 100,512 - 1000 x 1000,512 - 10000 x 10000,1024 - 100 x 100,1024 - 1000 x 1000,1024 - 10000 x 10000,2048 - 100 x 100,2048 - 1000 x 1000,2048 - 10000 x 10000
0.0225,2.1279,210.2732,0.0130,1.1001,108.3367,0.0183,1.0171,101.1612,0.0121,1.0779,96.5350,0.0133,0.9643,94.3627,0.0130,0.9673,95.0182,0.0139,0.9682,94.2302,0.0148,0.9632,94.6372,0.0201,0.9738,94.4873,0.0266,0.9726,94.5267,0.0439,0.9956,94.6769,0.0650,1.0162,94.5426
0.0223,2.1347,210.3144,0.0129,1.1008,108.2511,0.0183,1.0188,99.0975,0.0121,1.0295,95.6787,0.0125,0.9693,94.3858,0.0136,0.9688,94.5247,0.0139,0.9635,94.2035,0.0152,0.9656,94.4959,0.0198,0.9719,94.3253,0.0269,0.9738,94.4449,0.0404,0.9886,94.3610,0.0673,1.0127,94.4530
0.0228,2.1340,210.1515,0.0133,1.1022,108.1660,0.0166,1.0286,101.1433,0.0127,1.0613,95.5384,0.0129,0.9652,94.3298,0.0134,0.9724,94.4804,0.0134,0.9642,94.2223,0.0151,0.9672,94.4727,0.0191,0.9656,94.2511,0.0264,0.9765,94.4702,0.0417,0.9918,94.2864,0.0697,1.0204,94.5877
0.0228,2.1258,209.6660,0.0128,1.1164,108.0502,0.0134,1.0176,99.4142,0.0135,1.0054,95.5029,0.0132,0.9872,94.2084,0.0126,0.9620,94.1465,0.0138,0.9640,94.4870,0.0155,0.9660,94.5031,0.0198,0.9683,94.4744,0.0274,0.9749,94.1883,0.0414,0.9892,94.2894,0.0712,1.0151,94.5431
0.0221,2.1175,211.7580,0.0129,1.0993,108.8620,0.0173,1.0307,99.8196,0.0135,1.0381,96.2234,0.0126,0.9781,94.6062,0.0130,0.9681,94.2817,0.0137,0.9619,94.4046,0.0155,0.9648,94.5777,0.0198,0.9701,94.4796,0.0260,0.9745,94.2624,0.0402,0.9880,94.2621,0.0717,1.0207,94.5334
0.0222,2.1296,210.8994,0.0128,1.0973,107.8604,0.0184,1.0223,101.3146,0.0124,1.0149,96.5587,0.0129,0.9878,94.3590,0.0128,0.9667,94.1677,0.0134,0.9635,94.3278,0.0156,0.9654,94.4472,0.0194,0.9697,94.5497,0.0263,0.9755,94.2213,0.0403,0.9893,94.2261,0.0661,1.0170,94.5390
0.0222,2.1208,210.8531,0.0132,1.1019,108.3773,0.0168,1.0287,99.3418,0.0133,1.0150,95.9444,0.0133,0.9855,94.3434,0.0126,0.9694,94.2887,0.0143,0.9632,94.2338,0.0156,0.9668,94.4454,0.0187,0.9693,94.4671,0.0255,0.9742,94.2570,0.0370,0.9872,94.2657,0.0714,1.0167,94.5321
0.0222,2.1215,210.3388,0.0128,1.0976,108.0055,0.0183,1.0208,101.2368,0.0130,1.0235,95.8042,0.0128,0.9847,94.6019,0.0136,0.9666,94.2944,0.0138,0.9605,94.2810,0.0479,0.9661,94.4241,0.0192,0.9693,94.4854,0.0266,0.9743,94.2602,0.0402,0.9878,94.2802,0.0706,1.0216,94.5303
0.0222,2.1219,210.4947,0.0133,1.0952,107.9365,0.0166,1.0343,99.6043,0.0127,1.0350,95.8852,0.0134,0.9806,94.6805,0.0132,0.9651,94.1637,0.0138,0.9633,94.2047,0.0158,0.9662,94.4608,0.0193,0.9693,94.4688,0.0273,0.9776,94.2013,0.0397,0.9868,94.2638,0.0697,1.0208,94.5357
0.0228,2.1262,212.0728,0.0128,1.1059,108.2915,0.0130,1.0134,101.2287,0.0122,1.0359,95.6330,0.0127,0.9837,94.8443,0.0127,0.9691,94.2586,0.0135,0.9685,94.2220,0.0157,0.9658,94.4667,0.0191,0.9692,94.4674,0.0278,0.9771,94.3388,0.0413,0.9885,94.2894,0.0712,1.0151,94.5431
