1 - 100 x 100,1 - 1000 x 1000,1 - 10000 x 10000,2 - 100 x 100,2 - 1000 x 1000,2 - 10000 x 10000,4 - 100 x 100,4 - 1000 x 1000,4 - 10000 x 10000,8 - 100 x 100,8 - 1000 x 1000,8 - 10000 x 10000,16 - 100 x 100,16 - 1000 x 1000,16 - 10000 x 10000,32 - 100 x 100,32 - 1000 x 1000,32 - 10000 x 10000,64 - 100 x 100,64 - 1000 x 1000,64 - 10000 x 10000,128 - 100 x 100,128 - 1000 x 1000,128 - 10000 x 10000,256 - 100 x 100,256 - 1000 x 1000,256 - 10000 x 10000,512 - 100 x 100,512 - 1000 x 1000,512 - 10000 x 10000,1024 - 100 x 100,1024 - 1000 x 1000,1024 - 10000 x 10000,2048 - 100 x 100,2048 - 1000 x 1000,2048 - 10000 x 10000
2.2236,2.3202,10.3193,2.6596,2.4047,9.2502,2.4871,2.2949,8.6519,2.6778,2.2739,8.3628,2.2079,2.3050,8.2155,2.2346,2.7249,8.6315,2.2369,2.3189,8.1657,2.6331,2.7199,8.1120,2.2304,2.2935,8.1407,2.6436,2.2826,8.5685,2.2094,2.3065,8.1498,2.1962,2.2673,8.2012
2.2051,2.3446,10.8806,2.2024,2.2902,9.2090,2.5489,2.2948,8.6632,2.2027,2.3132,8.4142,2.6346,2.7219,8.2399,2.2088,2.2776,8.1467,2.2043,2.2756,8.6045,2.2540,2.3336,8.1130,2.2226,2.2736,8.1175,2.1957,2.2660,8.5503,2.6475,2.2767,8.4422,2.1992,2.2629,7.7519
2.2411,2.2946,10.3066,2.1996,2.3088,9.7856,2.2093,2.2901,8.6360,2.2077,2.2878,8.3771,2.1900,2.5877,8.2237,2.2304,2.2928,8.1976,2.6304,2.2792,8.5691,2.2857,2.2734,8.1214,2.6346,2.2677,8.1022,2.1924,2.2830,8.5539,2.1923,2.2935,8.4244,2.5668,2.7098,7.7112
2.2047,2.3002,10.2936,2.6279,2.2914,9.2202,2.2258,2.7295,8.6568,2.6485,2.2818,8.3690,2.6334,2.2793,8.2323,2.1985,2.2991,8.6235,2.4377,2.2635,8.1095,2.2305,2.2940,8.1053,2.6415,2.2808,8.1250,2.2051,2.2798,8.5456,2.5905,2.7203,8.5702,2.2062,2.2668,7.7168
2.2034,2.7419,10.3162,2.2180,2.7225,9.1899,2.6544,2.7196,8.6467,2.2041,2.2721,8.3681,2.2060,2.7189,8.2038,2.2707,2.7012,8.1340,2.1941,2.2662,8.1282,2.2055,2.2717,8.1128,2.2176,2.7181,8.1512,2.6402,2.2890,8.5883,2.6351,2.2836,8.5548,2.2104,2.2643,7.7185
2.2084,2.3008,10.3192,2.1862,2.7378,9.1868,2.1890,2.2699,8.6580,2.1951,2.2769,8.3919,2.2153,2.2765,8.7321,2.6338,2.2684,8.6322,2.6328,2.2671,8.1285,2.6460,2.2802,8.1231,2.2050,2.2716,8.5553,2.2018,2.2789,8.5456,2.6362,2.6735,8.1193,2.2971,2.2563,7.7458
2.2035,2.2934,10.3313,2.6336,2.7208,9.2404,2.2041,2.7125,8.6311,2.2023,2.2776,8.3495,2.2194,2.2844,8.2252,2.1982,2.2768,8.1644,2.2135,2.2737,8.1353,2.2022,2.2759,8.1091,2.1967,2.2768,8.1035,2.2066,2.2737,8.1383,2.2177,2.7098,8.1062,2.1951,2.2512,7.7446
2.6404,2.3027,10.8290,2.6298,2.2877,9.1864,2.6354,2.2813,9.1954,2.2925,2.7223,8.3685,2.2022,2.7148,8.6938,2.2784,2.7056,8.1630,2.1881,2.2717,8.1490,2.2065,2.2982,8.1198,2.2259,2.2742,8.5341,2.2051,2.2713,8.1274,2.2168,2.2679,8.1239,2.2047,2.2574,8.1587
2.6460,2.2939,10.8961,2.6351,2.2804,9.1966,2.1959,2.2988,8.6428,2.2030,2.3013,8.3771,2.1967,2.2972,8.2566,2.2035,2.2893,8.1738,2.2034,2.2657,8.5742,2.1984,2.3157,8.1051,2.1973,2.2796,8.1105,2.6423,2.2752,8.1399,2.2053,2.2762,8.0979,2.1899,2.2618,7.7269
2.2022,2.2940,10.3074,2.2006,2.2914,9.7966,2.1939,2.2859,8.6415,2.6425,2.7274,8.3642,2.2000,2.2802,8.7550,2.1960,2.2834,8.1397,2.6106,2.2801,8.1463,2.2016,2.7150,8.1376,2.2281,2.2797,8.1230,2.6409,2.2741,8.5780,2.2138,2.7247,8.5548,2.2104,2.2643,7.7185
